run,model,imbalance,seed,parameters,macs_per_sample,flops_per_sample,latency_ms_batch1,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd
balanced_83m_effective_ce_s123,mstcnn_83m,effective_ce,123,83080458,3531751432,7063502864,8.47849933999953,0.6794231843913436,0.030584456131380347,0.583139941043336,0.0327981547533714,0.5844298347844377,0.03197364279539302
balanced_83m_effective_ce_s2026,mstcnn_83m,effective_ce,2026,83080458,3531751432,7063502864,8.562483259994451,0.6753112790298075,0.024310123337246522,0.5894011703648674,0.03354390676718175,0.5840275922289824,0.02877624035381713
balanced_83m_effective_ce_s42,mstcnn_83m,effective_ce,42,83080458,3531751432,7063502864,8.979115320125857,0.6773989491737105,0.026124419366455327,0.5889803468934702,0.02762511626553984,0.5864605997555321,0.029012023988872027
baseline_deepconvnet1d_effective_ce,deepconvnet1d,effective_ce,42,1062276,199245824,398491648,0.8965930899285013,0.5140034279844802,0.11993406126071494,0.49950238278696296,0.13578742490189136,0.44172459565952316,0.1417483930439334
baseline_eegnet_effective_ce,eegnet,effective_ce,42,3412,21744384,43488768,0.4736731599950872,0.5300828220312649,0.04084268969171528,0.44995025043417647,0.04588793793880414,0.43297721115382676,0.042621362309834154
baseline_resnet1d_effective_ce,resnet1d,effective_ce,42,1949316,290980864,581961728,1.581272859875753,0.49199510630751764,0.044666679615813755,0.3483586246487076,0.028185574968180166,0.3377929057519262,0.02769631500155494
baseline_shallowconvnet_effective_ce,shallowconvnet,effective_ce,42,109404,102508320,205016640,0.5242254600216256,0.6344328554929742,0.04192307219868969,0.5458560350376161,0.03108939660436342,0.5377602685765848,0.02962560436069477
capacity_0_5m_unweighted,mstcnn_0_5m,none,42,551144,197677568,395355136,2.06950252003935,0.6667864840820915,0.025678385901061872,0.5438471931600535,0.03430712675321753,0.5546858198639527,0.03116221339613071
capacity_20m_unweighted,mstcnn_20m,none,42,19936294,2105963400,4211926800,5.8123583599990525,0.7022592932318608,0.01720107958768199,0.5826976610437588,0.021773336422611374,0.5968098273684787,0.020158139058307375
capacity_5m_unweighted,mstcnn_5m,none,42,4956614,1017345800,2034691600,3.3419767599934858,0.6999257735929091,0.01993242300626769,0.5720316932365603,0.03131393428261804,0.5872027641589928,0.028428239058760976
main_83m_unweighted_s123,mstcnn_83m,none,123,83080458,3531751432,7063502864,9.185563330083824,0.6936591205173499,0.0188153788143073,0.5719121231952743,0.02372950049566439,0.5852996200096489,0.01983272188233795
main_83m_unweighted_s2026,mstcnn_83m,none,2026,83080458,3531751432,7063502864,8.4894156299913,0.6988873195428021,0.019527123452468508,0.5764299600346154,0.032435183252501706,0.5905473163063526,0.028533872775914616
main_83m_unweighted_s42,mstcnn_83m,none,42,83080458,3531751432,7063502864,8.314596179997693,0.7023346438781435,0.018683972696665368,0.5838472761444361,0.02701782178899013,0.5970116772313758,0.025404986038282933
