band,class,rank,channel,class_vs_others_standardized_effect,mean_difference_db
mu,rest,1,AFz,0.9759381884858864,1.0443014793448178
mu,rest,2,Fpz,0.9327236244720207,1.221057083637486
mu,rest,3,CP3,0.9140348190027309,1.1704775266768703
mu,rest,4,Fp1,0.90454154986742,1.1830636918335855
mu,rest,5,Fp2,0.8928962995812161,1.1655726750966664
mu,rest,6,C2,0.8588275398479647,0.9104233996104162
mu,rest,7,C4,0.8502491540934239,0.995726122796408
mu,rest,8,C3,0.84338824141894,0.9425631778433246
mu,rest,9,AF3,0.839551490579402,1.0029208886963545
mu,rest,10,AF7,0.821595412153504,0.9654515358909459
mu,left_fist_imagery,1,CP4,-0.8363038917965313,-1.5265502220368476
mu,left_fist_imagery,2,CP6,-0.750246445719698,-1.2317986950737982
mu,left_fist_imagery,3,P4,-0.742320291824682,-0.9254060058246443
mu,left_fist_imagery,4,P6,-0.7380134846349368,-0.8676476098127563
mu,left_fist_imagery,5,C4,-0.7187525028997057,-1.3814707653238343
mu,left_fist_imagery,6,CP2,-0.6676513214495973,-0.9052319935719644
mu,left_fist_imagery,7,FCz,-0.6566323642737266,-0.5554122258292006
mu,left_fist_imagery,8,C2,-0.6447143954312343,-0.7654212273127917
mu,left_fist_imagery,9,P8,-0.6231465042339234,-0.6185552915870538
mu,left_fist_imagery,10,Fp2,-0.6212098516531003,-0.6048128337042753
mu,right_fist_imagery,1,CP3,-0.8522511620583978,-1.3512121675459348
mu,right_fist_imagery,2,C3,-0.7849139290435094,-1.2011400410371995
mu,right_fist_imagery,3,P5,-0.7380689316969266,-0.8034795615477064
mu,right_fist_imagery,4,CP5,-0.7376840846793954,-0.9636276349383309
mu,right_fist_imagery,5,CP1,-0.7268508223680348,-0.8306485044377243
mu,right_fist_imagery,6,P7,-0.6809353784588023,-0.6463286825446305
mu,right_fist_imagery,7,AFz,-0.6622888954397884,-0.5491179571625228
mu,right_fist_imagery,8,Fz,-0.6320866628436831,-0.5028823581429689
mu,right_fist_imagery,9,C1,-0.624781246581043,-0.6625420431655996
mu,right_fist_imagery,10,F1,-0.6199946108116728,-0.5559976998065408
mu,both_feet_imagery,1,C3,0.46559571807141,0.7757721754952462
mu,both_feet_imagery,2,CP6,0.4290948694632708,0.7227619179428298
mu,both_feet_imagery,3,C4,0.412570860396442,0.696015719212929
mu,both_feet_imagery,4,CP4,0.39332534288967175,0.6733819287941131
mu,both_feet_imagery,5,CP3,0.34763726766373654,0.5972347343704641
mu,both_feet_imagery,6,O1,-0.33533483655181084,-0.466401084485025
mu,both_feet_imagery,7,C6,0.3135016837908293,0.4882846807255576
mu,both_feet_imagery,8,PO7,-0.30404729053732366,-0.395864989066358
mu,both_feet_imagery,9,POz,-0.30253378102735967,-0.44422744796645847
mu,both_feet_imagery,10,Oz,-0.3011953022429567,-0.40599480832351914
beta,rest,1,FC3,1.04397057705707,0.6350481382548547
beta,rest,2,C1,1.0274412564737108,0.809111835853768
beta,rest,3,FCz,1.0152548466262044,0.7315989662492471
beta,rest,4,C4,0.9968176159917499,0.7645816678470374
beta,rest,5,CP3,0.995364456607201,0.8338360145197771
beta,rest,6,C3,0.9940818373033967,0.8528490408838424
beta,rest,7,FC1,0.9935537600164608,0.6987604697403315
beta,rest,8,C2,0.9739619541353571,0.7440846592763043
beta,rest,9,FC2,0.9585648781677272,0.6385180281185491
beta,rest,10,CP4,0.9387259781338628,0.7623931960374722
