band,contrast,channel,mean_difference_db,p_value,rank_biserial,holm_p_value,significant_0_05
mu,left_minus_right,FC5,0.03690196366373872,0.4213660789908701,-0.10041039671682626,1.0,False
mu,left_minus_right,FC3,0.13476623958311307,0.7674065002970719,0.036935704514363885,1.0,False
mu,left_minus_right,FC1,-0.00116396974452153,0.7210067043843778,-0.04459644322845417,1.0,False
mu,left_minus_right,FCz,-0.13094623763292193,0.29397923439893814,-0.13105335157318743,1.0,False
mu,left_minus_right,FC2,-0.09519123743895096,0.37491364114565484,-0.11080711354309165,1.0,False
mu,left_minus_right,FC4,-0.15524326856421153,0.3989548113730741,-0.10533515731874145,1.0,False
mu,left_minus_right,FC6,0.042517566743029866,0.8522683787823859,-0.023255813953488372,1.0,False
mu,left_minus_right,C5,0.22448992462601827,0.11723622901779814,0.19562243502051985,1.0,False
mu,left_minus_right,C3,0.5040141862016054,0.0007350827496379678,0.4216142270861833,0.04042955123008823,True
mu,left_minus_right,C1,0.09987256837289217,0.6438834157757614,0.057729138166894664,1.0,False
mu,left_minus_right,Cz,-0.07725654549172652,0.7046711603234166,-0.047332421340629274,1.0,False
mu,left_minus_right,C2,-0.2953179359014068,0.07000799012148996,-0.226265389876881,1.0,False
mu,left_minus_right,C4,-0.6480897960194687,0.0012312071122617702,-0.40355677154582764,0.06648518406213559,False
mu,left_minus_right,C6,-0.33390437526315364,0.006725879344760398,-0.3384404924760602,0.3228422085484991,False
mu,left_minus_right,CP5,0.4666733336044476,0.00026902269361795675,0.45499316005471957,0.015334293536223535,True
mu,left_minus_right,CP3,0.6664763128366806,1.0325402092165326e-05,0.5507523939808482,0.0006401749297142502,True
mu,left_minus_right,CP1,0.27575931740491977,0.00580993339750833,0.3444596443228454,0.28468673647790815,False
mu,left_minus_right,CPz,-0.11324337246507826,0.40387208992190604,-0.10424076607387141,1.0,False
mu,left_minus_right,CP2,-0.5828307360748658,5.922294816969336e-05,-0.5015047879616963,0.0035533768901816016,True
mu,left_minus_right,CP4,-0.9033430043219182,2.9034837265069796e-06,-0.5841313269493844,0.0001858229584964467,True
mu,left_minus_right,CP6,-0.6410540224118532,7.125134311680671e-05,-0.4960328317373461,0.004203829243891595,True
mu,left_minus_right,Fp1,-0.00420316562605261,0.8385473227872502,-0.025444596443228454,1.0,False
mu,left_minus_right,Fpz,-0.05847853994475275,0.6981743923013786,-0.048426812585499315,1.0,False
mu,left_minus_right,Fp2,-0.06187419651771172,0.5704164349314431,-0.07086183310533516,1.0,False
mu,left_minus_right,AF7,-0.016136508792590622,0.9423638901552435,-0.009028727770177838,1.0,False
mu,left_minus_right,AF3,0.07251162008790255,0.360928342927733,0.11409028727770178,1.0,False
mu,left_minus_right,AFz,-0.04259320239317319,0.7407781100832331,-0.04131326949384405,1.0,False
mu,left_minus_right,AF4,-0.056798604622236036,0.8971503335665718,-0.016142270861833105,1.0,False
mu,left_minus_right,AF8,0.016104857611249954,0.8419731589667045,0.024897400820793433,1.0,False
mu,left_minus_right,F7,0.0994045938185068,0.6820298199572625,0.05116279069767442,1.0,False
mu,left_minus_right,F5,0.07042688601570835,0.9040882831359195,0.015047879616963064,1.0,False
mu,left_minus_right,F3,0.0556206437248589,0.8902202387436194,0.017236662106703146,1.0,False
mu,left_minus_right,F1,0.09753393755336003,0.46298208194879353,0.09165526675786594,1.0,False
mu,left_minus_right,Fz,-0.03331361543167843,0.8078598842707817,-0.03036935704514364,1.0,False
mu,left_minus_right,F2,-0.06281705503901662,0.6005424015993688,-0.06538987688098495,1.0,False
mu,left_minus_right,F4,-0.022273916231491973,0.7808266371880096,-0.0347469220246238,1.0,False
mu,left_minus_right,F6,0.03660265011645817,0.7242894297828648,0.04404924760601915,1.0,False
mu,left_minus_right,F8,0.1356082094782659,0.35634025467431685,0.11518467852257182,1.0,False
mu,left_minus_right,FT7,0.06183900844826854,0.9075600396089389,-0.014500683994528044,1.0,False
mu,left_minus_right,FT8,0.1266152756228626,0.7573867287127334,0.038577291381668946,1.0,False
mu,left_minus_right,T7,0.15928004863439837,0.46031573010358906,0.09220246238030096,1.0,False
