subject_id,complete_for_physiology,exclusion_reason,equal_retained_trial_counts,rest_annotation_target_trials,rest_epochable_target_trials,rest_rejected_peak_to_peak_trials,rest_retained_trials,left_fist_imagery_annotation_target_trials,left_fist_imagery_epochable_target_trials,left_fist_imagery_rejected_peak_to_peak_trials,left_fist_imagery_retained_trials,right_fist_imagery_annotation_target_trials,right_fist_imagery_epochable_target_trials,right_fist_imagery_rejected_peak_to_peak_trials,right_fist_imagery_retained_trials,both_feet_imagery_annotation_target_trials,both_feet_imagery_epochable_target_trials,both_feet_imagery_rejected_peak_to_peak_trials,both_feet_imagery_retained_trials
1,True,,False,90,90,10,80,23,23,2,21,22,22,3,19,24,24,2,22
2,True,,False,90,90,5,85,23,23,0,23,22,22,1,21,21,21,0,21
3,False,all_both_feet_imagery_trials_exceeded_300uv,False,90,90,85,5,23,23,21,2,22,22,18,4,24,24,24,0
4,False,all_left_fist_imagery_trials_exceeded_300uv,False,90,90,70,20,23,23,23,0,22,22,22,0,23,23,12,11
5,True,,False,90,90,0,90,21,21,0,21,24,24,0,24,22,22,0,22
6,True,,False,90,90,10,80,24,24,3,21,21,21,2,19,23,23,0,23
7,True,,False,90,90,11,79,23,23,0,23,22,22,0,22,23,23,2,21
8,True,,False,90,90,1,89,22,22,0,22,23,23,0,23,22,22,0,22
9,False,all_rest_trials_exceeded_300uv,False,90,90,90,0,24,24,24,0,21,21,21,0,22,22,22,0
10,True,,False,90,90,29,61,24,24,6,18,21,21,2,19,22,22,4,18
11,True,,False,90,90,1,89,23,23,1,22,22,22,0,22,23,23,0,23
12,True,,False,90,90,3,87,21,21,4,17,24,24,2,22,23,23,4,19
13,False,all_rest_trials_exceeded_300uv,False,90,90,90,0,23,23,23,0,22,22,22,0,23,23,23,0
14,True,,False,90,90,1,89,22,22,0,22,23,23,0,23,21,21,0,21
15,True,,False,90,90,67,23,23,23,6,17,22,22,7,15,23,23,1,22
16,True,,False,90,90,1,89,22,22,0,22,23,23,0,23,21,21,1,20
17,False,all_right_fist_imagery_trials_exceeded_300uv,False,90,90,85,5,23,23,22,1,22,22,22,0,21,21,18,3
18,True,,False,90,90,0,90,22,22,0,22,23,23,0,23,23,23,0,23
19,False,all_both_feet_imagery_trials_exceeded_300uv,False,90,90,79,11,23,23,15,8,22,22,16,6,23,23,23,0
20,True,,False,90,90,0,90,23,23,0,23,22,22,0,22,22,22,0,22
21,True,,False,90,90,53,37,24,24,14,10,21,21,11,10,21,21,12,9
22,False,all_rest_trials_exceeded_300uv,False,90,90,90,0,22,22,22,0,23,23,22,1,24,24,24,0
23,False,all_both_feet_imagery_trials_exceeded_300uv,False,90,90,89,1,22,22,20,2,23,23,21,2,22,22,22,0
24,False,all_rest_trials_exceeded_300uv,False,90,90,90,0,22,22,22,0,23,23,23,0,23,23,23,0
25,True,,False,90,90,0,90,22,22,0,22,23,23,0,23,21,21,0,21
26,True,,False,90,90,0,90,24,24,0,24,21,21,0,21,24,24,0,24
27,True,,False,90,90,58,32,23,23,14,9,22,22,9,13,23,23,13,10
28,True,,False,90,90,65,25,22,22,14,8,23,23,14,9,22,22,7,15
29,True,,False,90,90,0,90,23,23,0,23,22,22,0,22,23,23,0,23
30,True,,False,90,90,0,90,24,24,0,24,21,21,0,21,21,21,0,21
31,True,,False,90,90,0,90,22,22,0,22,23,23,0,23,22,22,0,22
32,True,,False,90,90,77,13,21,21,20,1,24,24,20,4,23,23,20,3
33,True,,False,90,90,2,88,23,23,0,23,22,22,0,22,23,23,0,23
