run,actual_class,predicted_class,count
baseline_csp_lda,0,0,9118
baseline_csp_lda,0,1,33
baseline_csp_lda,0,2,119
baseline_csp_lda,0,3,0
baseline_csp_lda,1,0,2285
baseline_csp_lda,1,1,11
baseline_csp_lda,1,2,32
baseline_csp_lda,1,3,0
baseline_csp_lda,2,0,2246
baseline_csp_lda,2,1,10
baseline_csp_lda,2,2,32
baseline_csp_lda,2,3,0
baseline_csp_lda,3,0,2266
baseline_csp_lda,3,1,9
baseline_csp_lda,3,2,31
baseline_csp_lda,3,3,0
kernel_k11,0,0,7899
kernel_k11,0,1,356
kernel_k11,0,2,386
kernel_k11,0,3,629
kernel_k11,1,0,644
kernel_k11,1,1,1143
kernel_k11,1,2,201
kernel_k11,1,3,340
kernel_k11,2,0,734
kernel_k11,2,1,127
kernel_k11,2,2,1124
kernel_k11,2,3,303
kernel_k11,3,0,763
kernel_k11,3,1,204
kernel_k11,3,2,274
kernel_k11,3,3,1065
kernel_k11_13,0,0,8006
kernel_k11_13,0,1,377
kernel_k11_13,0,2,397
kernel_k11_13,0,3,490
kernel_k11_13,1,0,680
kernel_k11_13,1,1,1181
kernel_k11_13,1,2,165
kernel_k11_13,1,3,302
kernel_k11_13,2,0,703
kernel_k11_13,2,1,156
kernel_k11_13,2,2,1082
kernel_k11_13,2,3,347
kernel_k11_13,3,0,808
kernel_k11_13,3,1,231
kernel_k11_13,3,2,246
kernel_k11_13,3,3,1021
kernel_k13,0,0,7934
kernel_k13,0,1,382
kernel_k13,0,2,343
kernel_k13,0,3,611
kernel_k13,1,0,664
kernel_k13,1,1,1125
kernel_k13,1,2,181
kernel_k13,1,3,358
kernel_k13,2,0,702
kernel_k13,2,1,152
kernel_k13,2,2,1064
kernel_k13,2,3,370
kernel_k13,3,0,784
kernel_k13,3,1,218
kernel_k13,3,2,193
kernel_k13,3,3,1111
kernel_k7,0,0,8037
kernel_k7,0,1,334
kernel_k7,0,2,413
kernel_k7,0,3,486
kernel_k7,1,0,692
kernel_k7,1,1,1151
kernel_k7,1,2,221
kernel_k7,1,3,264
kernel_k7,2,0,752
kernel_k7,2,1,134
kernel_k7,2,2,1112
kernel_k7,2,3,290
kernel_k7,3,0,847
kernel_k7,3,1,219
kernel_k7,3,2,310
kernel_k7,3,3,930
kernel_k7_13,0,0,8024
kernel_k7_13,0,1,410
kernel_k7_13,0,2,352
kernel_k7_13,0,3,484
kernel_k7_13,1,0,674
kernel_k7_13,1,1,1198
kernel_k7_13,1,2,183
kernel_k7_13,1,3,273
kernel_k7_13,2,0,729
kernel_k7_13,2,1,163
kernel_k7_13,2,2,1073
kernel_k7_13,2,3,323
kernel_k7_13,3,0,822
kernel_k7_13,3,1,242
kernel_k7_13,3,2,250
kernel_k7_13,3,3,992
kernel_k7_9,0,0,8034
kernel_k7_9,0,1,377
kernel_k7_9,0,2,371
kernel_k7_9,0,3,488
kernel_k7_9,1,0,736
kernel_k7_9,1,1,1119
kernel_k7_9,1,2,205
kernel_k7_9,1,3,268
kernel_k7_9,2,0,721
kernel_k7_9,2,1,135
kernel_k7_9,2,2,1112
kernel_k7_9,2,3,320
kernel_k7_9,3,0,798
kernel_k7_9,3,1,217
kernel_k7_9,3,2,268
kernel_k7_9,3,3,1023
kernel_k7_9_11,0,0,7904
kernel_k7_9_11,0,1,397
kernel_k7_9_11,0,2,421
kernel_k7_9_11,0,3,548
kernel_k7_9_11,1,0,679
kernel_k7_9_11,1,1,1143
kernel_k7_9_11,1,2,194
kernel_k7_9_11,1,3,312
kernel_k7_9_11,2,0,678
kernel_k7_9_11,2,1,150
kernel_k7_9_11,2,2,1135
kernel_k7_9_11,2,3,325
kernel_k7_9_11,3,0,781
kernel_k7_9_11,3,1,218
kernel_k7_9_11,3,2,267
kernel_k7_9_11,3,3,1040
kernel_k7_9_11_13,0,0,7980
kernel_k7_9_11_13,0,1,381
kernel_k7_9_11_13,0,2,338
kernel_k7_9_11_13,0,3,571
kernel_k7_9_11_13,1,0,660
kernel_k7_9_11_13,1,1,1175
kernel_k7_9_11_13,1,2,191
kernel_k7_9_11_13,1,3,302
kernel_k7_9_11_13,2,0,690
kernel_k7_9_11_13,2,1,130
kernel_k7_9_11_13,2,2,1120
kernel_k7_9_11_13,2,3,348
kernel_k7_9_11_13,3,0,753
kernel_k7_9_11_13,3,1,216
kernel_k7_9_11_13,3,2,242
kernel_k7_9_11_13,3,3,1095
kernel_k9,0,0,7766
kernel_k9,0,1,360
kernel_k9,0,2,413
kernel_k9,0,3,731
kernel_k9,1,0,630
kernel_k9,1,1,1137
kernel_k9,1,2,188
kernel_k9,1,3,373
kernel_k9,2,0,694
kernel_k9,2,1,137
kernel_k9,2,2,1076
kernel_k9,2,3,381
kernel_k9,3,0,741
kernel_k9,3,1,194
kernel_k9,3,2,245
kernel_k9,3,3,1126
kernel_k9_11,0,0,7969
kernel_k9_11,0,1,388
kernel_k9_11,0,2,388
kernel_k9_11,0,3,525
kernel_k9_11,1,0,695
kernel_k9_11,1,1,1144
kernel_k9_11,1,2,172
kernel_k9_11,1,3,317
kernel_k9_11,2,0,713
kernel_k9_11,2,1,134
kernel_k9_11,2,2,1097
kernel_k9_11,2,3,344
kernel_k9_11,3,0,799
kernel_k9_11,3,1,226
kernel_k9_11,3,2,235
kernel_k9_11,3,3,1046
window_0_2,0,0,7912
window_0_2,0,1,426
window_0_2,0,2,451
window_0_2,0,3,481
window_0_2,1,0,711
window_0_2,1,1,1198
window_0_2,1,2,189
window_0_2,1,3,239
window_0_2,2,0,705
window_0_2,2,1,163
window_0_2,2,2,1122
window_0_2,2,3,308
window_0_2,3,0,823
window_0_2,3,1,236
window_0_2,3,2,260
window_0_2,3,3,997
window_0_3,0,0,8013
window_0_3,0,1,398
window_0_3,0,2,330
window_0_3,0,3,529
window_0_3,1,0,694
window_0_3,1,1,1156
window_0_3,1,2,163
window_0_3,1,3,324
window_0_3,2,0,708
window_0_3,2,1,173
window_0_3,2,2,1096
window_0_3,2,3,321
window_0_3,3,0,764
window_0_3,3,1,208
window_0_3,3,2,252
window_0_3,3,3,1092
window_1_4,0,0,6547
window_1_4,0,1,931
window_1_4,0,2,794
window_1_4,0,3,998
window_1_4,1,0,1186
window_1_4,1,1,433
window_1_4,1,2,375
window_1_4,1,3,334
window_1_4,2,0,1076
window_1_4,2,1,425
window_1_4,2,2,460
window_1_4,2,3,327
window_1_4,3,0,1190
window_1_4,3,1,374
window_1_4,3,2,319
window_1_4,3,3,423
