reference,comparator,metric,pairing_unit,held_out_samples_identical,n_paired_subjects,reference_mean,comparator_mean,mean_difference,median_difference,mean_difference_ci_2_5,mean_difference_ci_97_5,rank_biserial_correlation,wilcoxon_statistic,raw_p,holm_adjusted_p
kernel_k7_9_11_13,baseline_csp_lda,accuracy,held-out subject,True,103,0.7021881626060971,0.565667079498202,0.1365210831078952,0.1392405063291139,0.11858446487556094,0.15458040659544858,0.9654592979835698,92.5,1.7969133658528735e-17,2.156296039023448e-16
kernel_k7_9_11_13,baseline_csp_lda,balanced_accuracy,held-out subject,True,103,0.5833814727203288,0.2507578079839583,0.3326236647363705,0.3354978354978355,0.3072751429029791,0.3586499810488043,1.0,0.0,1.2469754626335515e-18,1.621068101423617e-17
kernel_k7_9_11_13,baseline_csp_lda,macro_f1,held-out subject,True,103,0.5863595246296984,0.18376171472657585,0.40259780990312244,0.4097947689931156,0.37722663480569707,0.42825668012976215,1.0,0.0,1.2469754626335515e-18,1.621068101423617e-17
kernel_k7_9_11_13,kernel_k11,accuracy,held-out subject,True,103,0.7021881626060971,0.6936324791017635,0.00855568350433338,0.006329113924050667,0.0017653694239525089,0.015396300451496757,0.2757020757020757,1483.0,0.02310651806588536,0.18485214452708287
kernel_k7_9_11_13,kernel_k11,balanced_accuracy,held-out subject,True,103,0.5833814727203288,0.5747279981872636,0.008653474533065076,0.0036184829663090667,0.00029052900484674565,0.017653324804153207,0.18334578043315908,2187.0,0.1062346671171979,0.23762977750025077
kernel_k7_9_11_13,kernel_k11,macro_f1,held-out subject,True,103,0.5863595246296984,0.5776598536730703,0.008699670956628068,0.0036128003109627826,-6.042826359214553e-05,0.017920402066032293,0.1896938013442868,2170.0,0.09466664148389967,0.37866656593559866
kernel_k7_9_11_13,kernel_k11_13,accuracy,held-out subject,True,103,0.7021881626060971,0.6971711243992066,0.005017038206890419,0.0062893081761006275,-0.0027611269673430043,0.012548386238062493,0.1563223227435304,2005.0,0.1812546574099021,0.5656802289870022
kernel_k7_9_11_13,kernel_k11_13,balanced_accuracy,held-out subject,True,103,0.5833814727203288,0.5721197075988128,0.011261765121516068,0.010353535353535392,0.0013343845955179855,0.02116028181166425,0.23039581777445856,2061.0,0.042368615249717974,0.23762977750025077
kernel_k7_9_11_13,kernel_k11_13,macro_f1,held-out subject,True,103,0.5863595246296984,0.5758450242983216,0.010514500331376844,0.011367067590217994,3.973904079413838e-05,0.020359855401468382,0.25093353248693057,2006.0,0.027047932438580436,0.17693818195519181
kernel_k7_9_11_13,kernel_k13,accuracy,held-out subject,True,103,0.7021881626060971,0.6937986716399609,0.008389490966136217,0.006369426751592355,0.0010288101862684863,0.015543575039075582,0.2892909741216074,1689.0,0.01335796937075876,0.12022172433682883
