run,model,kernels,tmin_seconds,tmax_seconds,parameters,flops_per_sample,latency_ms_batch1,accuracy_fold_mean,accuracy_fold_sd,balanced_accuracy_fold_mean,balanced_accuracy_fold_sd,macro_f1_fold_mean,macro_f1_fold_sd
baseline_csp_lda,csp_lda,,0.0,4.0,,,,0.5660327622505104,0.010990395999644846,0.2505841176061595,0.0012060828764003516,0.18791069088910248,0.006126870068760571
kernel_k11,mstcnn_20m,11,0.0,4.0,5102940,1160030992,0.9979415600173525,0.6935863268467447,0.022479180080006538,0.5740750496544689,0.026833528456984092,0.587356724508248,0.025972430814172585
kernel_k11_13,mstcnn_20m,11+13,0.0,4.0,10427978,2529568528,2.029432149956847,0.697364656648584,0.02482213905042918,0.5714591524526447,0.03775856967706513,0.5862340180084835,0.03564234588759603
kernel_k13,mstcnn_20m,13,0.0,4.0,5331292,1369547536,1.1342007399252907,0.6938860694175925,0.02534619954564662,0.5716148793148405,0.03083255709934334,0.5856039431760776,0.030260037792661183
kernel_k7,mstcnn_20m,7,0.0,4.0,4646236,740997904,2.412724889999822,0.6934626511546699,0.022506147941943822,0.5625590899618131,0.03288887763702899,0.5788360084124828,0.03157350579993304
kernel_k7_13,mstcnn_20m,7+13,0.0,4.0,9971274,2110535440,2.885778729978483,0.6969780430619411,0.026155551646040453,0.569789204404258,0.035767655475577774,0.5846621392405312,0.03443445871874159
kernel_k7_9,mstcnn_20m,7+9,0.0,4.0,9514570,1691502352,3.670852650029701,0.6970393280932224,0.025006886571232914,0.5695685346841851,0.033573078802714394,0.5855689668726131,0.03151835009925519
kernel_k7_9_11,mstcnn_20m,7+9+11,0.0,4.0,14611256,2851523344,4.531903559873172,0.6927697777329513,0.025362183924663245,0.5721470892157886,0.04109691680009837,0.5850702092002775,0.0372960736629908
kernel_k7_9_11_13,mstcnn_20m,7+9+11+13,0.0,4.0,19936294,4221060880,5.622678090003319,0.7022592932318608,0.01720107958768199,0.5826976610437588,0.021773336422611374,0.5968098273684787,0.020158139058307375
kernel_k9,mstcnn_20m,9,0.0,4.0,4874588,950514448,1.9111254200015537,0.6857072941270331,0.022412732326262983,0.5710892599626881,0.029834060784992865,0.5820287511805763,0.028570959255734853
kernel_k9_11,mstcnn_20m,9+11,0.0,4.0,9971274,2110535440,3.0735408200013126,0.6951672470554204,0.02208662066554684,0.5709760065029996,0.035092435020966074,0.5854723466228894,0.03264163547283754
window_0_2,mstcnn_20m,7+9+11+13,0.0,2.0,19936294,2130462480,4.495160950000354,0.6923590542129634,0.01917875416234914,0.5717242882367947,0.03997170244068288,0.5847778978374778,0.03519460735226596
window_0_3,mstcnn_20m,7+9+11+13,0.0,3.0,19936294,3175761680,4.894394399989324,0.7003926333309455,0.022568453809352757,0.578051977087649,0.040620556660820484,0.5917808693607973,0.035258348335835264
window_1_4,mstcnn_20m,7+9+11+13,1.0,4.0,19936294,3175761680,4.724063499997442,0.48559956193498605,0.014266848518586195,0.3188446091785455,0.013531780458688185,0.3174227559931386,0.014690637980180795
