run,outer_fold,actual_class,predicted_class,count
baseline_csp_lda,1,0,0,883
baseline_csp_lda,1,0,1,0
baseline_csp_lda,1,0,2,17
baseline_csp_lda,1,0,3,0
baseline_csp_lda,1,1,0,221
baseline_csp_lda,1,1,1,0
baseline_csp_lda,1,1,2,7
baseline_csp_lda,1,1,3,0
baseline_csp_lda,1,2,0,219
baseline_csp_lda,1,2,1,0
baseline_csp_lda,1,2,2,3
baseline_csp_lda,1,2,3,0
baseline_csp_lda,1,3,0,218
baseline_csp_lda,1,3,1,0
baseline_csp_lda,1,3,2,6
baseline_csp_lda,1,3,3,0
baseline_csp_lda,2,0,0,895
baseline_csp_lda,2,0,1,1
baseline_csp_lda,2,0,2,4
baseline_csp_lda,2,0,3,0
baseline_csp_lda,2,1,0,227
baseline_csp_lda,2,1,1,1
baseline_csp_lda,2,1,2,0
baseline_csp_lda,2,1,3,0
baseline_csp_lda,2,2,0,219
baseline_csp_lda,2,2,1,0
baseline_csp_lda,2,2,2,3
baseline_csp_lda,2,2,3,0
baseline_csp_lda,2,3,0,220
baseline_csp_lda,2,3,1,0
baseline_csp_lda,2,3,2,4
baseline_csp_lda,2,3,3,0
baseline_csp_lda,3,0,0,900
baseline_csp_lda,3,0,1,0
baseline_csp_lda,3,0,2,0
baseline_csp_lda,3,0,3,0
baseline_csp_lda,3,1,0,225
baseline_csp_lda,3,1,1,0
baseline_csp_lda,3,1,2,0
baseline_csp_lda,3,1,3,0
baseline_csp_lda,3,2,0,224
baseline_csp_lda,3,2,1,0
baseline_csp_lda,3,2,2,0
baseline_csp_lda,3,2,3,0
baseline_csp_lda,3,3,0,225
baseline_csp_lda,3,3,1,0
baseline_csp_lda,3,3,2,0
baseline_csp_lda,3,3,3,0
baseline_csp_lda,4,0,0,898
baseline_csp_lda,4,0,1,0
baseline_csp_lda,4,0,2,2
baseline_csp_lda,4,0,3,0
baseline_csp_lda,4,1,0,223
baseline_csp_lda,4,1,1,0
baseline_csp_lda,4,1,2,0
baseline_csp_lda,4,1,3,0
baseline_csp_lda,4,2,0,225
baseline_csp_lda,4,2,1,0
baseline_csp_lda,4,2,2,2
baseline_csp_lda,4,2,3,0
baseline_csp_lda,4,3,0,224
baseline_csp_lda,4,3,1,0
baseline_csp_lda,4,3,2,0
baseline_csp_lda,4,3,3,0
baseline_csp_lda,5,0,0,894
baseline_csp_lda,5,0,1,0
baseline_csp_lda,5,0,2,6
baseline_csp_lda,5,0,3,0
baseline_csp_lda,5,1,0,224
baseline_csp_lda,5,1,1,0
baseline_csp_lda,5,1,2,3
baseline_csp_lda,5,1,3,0
baseline_csp_lda,5,2,0,222
baseline_csp_lda,5,2,1,0
baseline_csp_lda,5,2,2,1
baseline_csp_lda,5,2,3,0
baseline_csp_lda,5,3,0,223
baseline_csp_lda,5,3,1,0
baseline_csp_lda,5,3,2,1
baseline_csp_lda,5,3,3,0
baseline_csp_lda,6,0,0,897
baseline_csp_lda,6,0,1,0
baseline_csp_lda,6,0,2,3
baseline_csp_lda,6,0,3,0
baseline_csp_lda,6,1,0,228
baseline_csp_lda,6,1,1,0
baseline_csp_lda,6,1,2,0
baseline_csp_lda,6,1,3,0
baseline_csp_lda,6,2,0,221
baseline_csp_lda,6,2,1,0
baseline_csp_lda,6,2,2,1
baseline_csp_lda,6,2,3,0
baseline_csp_lda,6,3,0,224
baseline_csp_lda,6,3,1,0
baseline_csp_lda,6,3,2,0
baseline_csp_lda,6,3,3,0
baseline_csp_lda,7,0,0,958
baseline_csp_lda,7,0,1,32
baseline_csp_lda,7,0,2,0
baseline_csp_lda,7,0,3,0
baseline_csp_lda,7,1,0,238
baseline_csp_lda,7,1,1,9
baseline_csp_lda,7,1,2,0
baseline_csp_lda,7,1,3,0
baseline_csp_lda,7,2,0,232
baseline_csp_lda,7,2,1,10
baseline_csp_lda,7,2,2,0
baseline_csp_lda,7,2,3,0
baseline_csp_lda,7,3,0,238
baseline_csp_lda,7,3,1,9
baseline_csp_lda,7,3,2,0
baseline_csp_lda,7,3,3,0
baseline_csp_lda,8,0,0,990
baseline_csp_lda,8,0,1,0
baseline_csp_lda,8,0,2,0
baseline_csp_lda,8,0,3,0
baseline_csp_lda,8,1,0,248
baseline_csp_lda,8,1,1,0
baseline_csp_lda,8,1,2,0
baseline_csp_lda,8,1,3,0
baseline_csp_lda,8,2,0,241
baseline_csp_lda,8,2,1,0
baseline_csp_lda,8,2,2,1
baseline_csp_lda,8,2,3,0
baseline_csp_lda,8,3,0,245
baseline_csp_lda,8,3,1,0
baseline_csp_lda,8,3,2,0
baseline_csp_lda,8,3,3,0
baseline_csp_lda,9,0,0,903
baseline_csp_lda,9,0,1,0
baseline_csp_lda,9,0,2,87
baseline_csp_lda,9,0,3,0
baseline_csp_lda,9,1,0,225
baseline_csp_lda,9,1,1,0
baseline_csp_lda,9,1,2,21
baseline_csp_lda,9,1,3,0
baseline_csp_lda,9,2,0,223
baseline_csp_lda,9,2,1,0
baseline_csp_lda,9,2,2,21
baseline_csp_lda,9,2,3,0
baseline_csp_lda,9,3,0,225
baseline_csp_lda,9,3,1,0
baseline_csp_lda,9,3,2,20
baseline_csp_lda,9,3,3,0
baseline_csp_lda,10,0,0,900
baseline_csp_lda,10,0,1,0
baseline_csp_lda,10,0,2,0
baseline_csp_lda,10,0,3,0
baseline_csp_lda,10,1,0,226
baseline_csp_lda,10,1,1,1
baseline_csp_lda,10,1,2,1
baseline_csp_lda,10,1,3,0
baseline_csp_lda,10,2,0,220
baseline_csp_lda,10,2,1,0
baseline_csp_lda,10,2,2,0
baseline_csp_lda,10,2,3,0
baseline_csp_lda,10,3,0,224
baseline_csp_lda,10,3,1,0
baseline_csp_lda,10,3,2,0
baseline_csp_lda,10,3,3,0
kernel_k11,1,0,0,751
kernel_k11,1,0,1,16
kernel_k11,1,0,2,33
kernel_k11,1,0,3,100
kernel_k11,1,1,0,69
kernel_k11,1,1,1,101
kernel_k11,1,1,2,11
kernel_k11,1,1,3,47
kernel_k11,1,2,0,76
kernel_k11,1,2,1,7
kernel_k11,1,2,2,105
kernel_k11,1,2,3,34
kernel_k11,1,3,0,71
kernel_k11,1,3,1,14
kernel_k11,1,3,2,35
kernel_k11,1,3,3,104
kernel_k11,2,0,0,802
kernel_k11,2,0,1,29
kernel_k11,2,0,2,19
kernel_k11,2,0,3,50
kernel_k11,2,1,0,81
kernel_k11,2,1,1,91
kernel_k11,2,1,2,17
kernel_k11,2,1,3,39
kernel_k11,2,2,0,78
kernel_k11,2,2,1,11
kernel_k11,2,2,2,100
kernel_k11,2,2,3,33
kernel_k11,2,3,0,85
kernel_k11,2,3,1,12
kernel_k11,2,3,2,17
kernel_k11,2,3,3,110
kernel_k11,3,0,0,814
kernel_k11,3,0,1,15
kernel_k11,3,0,2,27
kernel_k11,3,0,3,44
kernel_k11,3,1,0,71
kernel_k11,3,1,1,100
kernel_k11,3,1,2,23
kernel_k11,3,1,3,31
kernel_k11,3,2,0,66
kernel_k11,3,2,1,8
kernel_k11,3,2,2,121
kernel_k11,3,2,3,29
kernel_k11,3,3,0,83
kernel_k11,3,3,1,9
kernel_k11,3,3,2,23
kernel_k11,3,3,3,110
kernel_k11,4,0,0,721
kernel_k11,4,0,1,50
kernel_k11,4,0,2,36
kernel_k11,4,0,3,93
kernel_k11,4,1,0,52
kernel_k11,4,1,1,119
kernel_k11,4,1,2,9
kernel_k11,4,1,3,43
kernel_k11,4,2,0,73
kernel_k11,4,2,1,10
kernel_k11,4,2,2,104
kernel_k11,4,2,3,40
kernel_k11,4,3,0,47
kernel_k11,4,3,1,18
kernel_k11,4,3,2,21
kernel_k11,4,3,3,138
kernel_k11,5,0,0,776
kernel_k11,5,0,1,41
kernel_k11,5,0,2,32
kernel_k11,5,0,3,51
kernel_k11,5,1,0,48
kernel_k11,5,1,1,121
kernel_k11,5,1,2,17
kernel_k11,5,1,3,41
kernel_k11,5,2,0,63
kernel_k11,5,2,1,14
kernel_k11,5,2,2,120
kernel_k11,5,2,3,26
kernel_k11,5,3,0,58
kernel_k11,5,3,1,27
kernel_k11,5,3,2,23
kernel_k11,5,3,3,116
kernel_k11,6,0,0,786
kernel_k11,6,0,1,25
kernel_k11,6,0,2,45
kernel_k11,6,0,3,44
kernel_k11,6,1,0,72
kernel_k11,6,1,1,94
kernel_k11,6,1,2,40
kernel_k11,6,1,3,22
kernel_k11,6,2,0,74
kernel_k11,6,2,1,9
kernel_k11,6,2,2,124
kernel_k11,6,2,3,15
kernel_k11,6,3,0,81
kernel_k11,6,3,1,15
kernel_k11,6,3,2,35
kernel_k11,6,3,3,93
kernel_k11,7,0,0,815
kernel_k11,7,0,1,42
kernel_k11,7,0,2,52
kernel_k11,7,0,3,81
kernel_k11,7,1,0,50
kernel_k11,7,1,1,133
kernel_k11,7,1,2,27
kernel_k11,7,1,3,37
kernel_k11,7,2,0,53
kernel_k11,7,2,1,11
kernel_k11,7,2,2,140
kernel_k11,7,2,3,38
kernel_k11,7,3,0,57
kernel_k11,7,3,1,27
kernel_k11,7,3,2,43
kernel_k11,7,3,3,120
kernel_k11,8,0,0,883
kernel_k11,8,0,1,27
kernel_k11,8,0,2,40
kernel_k11,8,0,3,40
kernel_k11,8,1,0,82
kernel_k11,8,1,1,127
kernel_k11,8,1,2,17
kernel_k11,8,1,3,22
kernel_k11,8,2,0,86
kernel_k11,8,2,1,11
kernel_k11,8,2,2,117
kernel_k11,8,2,3,28
kernel_k11,8,3,0,107
kernel_k11,8,3,1,19
kernel_k11,8,3,2,27
kernel_k11,8,3,3,92
kernel_k11,9,0,0,826
kernel_k11,9,0,1,68
kernel_k11,9,0,2,39
kernel_k11,9,0,3,57
kernel_k11,9,1,0,55
kernel_k11,9,1,1,155
kernel_k11,9,1,2,11
kernel_k11,9,1,3,25
kernel_k11,9,2,0,87
kernel_k11,9,2,1,30
kernel_k11,9,2,2,92
kernel_k11,9,2,3,35
kernel_k11,9,3,0,94
kernel_k11,9,3,1,40
kernel_k11,9,3,2,17
kernel_k11,9,3,3,94
kernel_k11,10,0,0,725
kernel_k11,10,0,1,43
kernel_k11,10,0,2,63
kernel_k11,10,0,3,69
kernel_k11,10,1,0,64
kernel_k11,10,1,1,102
kernel_k11,10,1,2,29
kernel_k11,10,1,3,33
kernel_k11,10,2,0,78
kernel_k11,10,2,1,16
kernel_k11,10,2,2,101
kernel_k11,10,2,3,25
kernel_k11,10,3,0,80
kernel_k11,10,3,1,23
kernel_k11,10,3,2,33
kernel_k11,10,3,3,88
kernel_k11_13,1,0,0,817
kernel_k11_13,1,0,1,28
kernel_k11_13,1,0,2,11
kernel_k11_13,1,0,3,44
kernel_k11_13,1,1,0,110
kernel_k11_13,1,1,1,82
kernel_k11_13,1,1,2,5
kernel_k11_13,1,1,3,31
kernel_k11_13,1,2,0,99
kernel_k11_13,1,2,1,10
kernel_k11_13,1,2,2,74
kernel_k11_13,1,2,3,39
kernel_k11_13,1,3,0,113
kernel_k11_13,1,3,1,15
kernel_k11_13,1,3,2,10
kernel_k11_13,1,3,3,86
kernel_k11_13,2,0,0,761
kernel_k11_13,2,0,1,39
kernel_k11_13,2,0,2,55
kernel_k11_13,2,0,3,45
kernel_k11_13,2,1,0,56
kernel_k11_13,2,1,1,107
kernel_k11_13,2,1,2,30
kernel_k11_13,2,1,3,35
kernel_k11_13,2,2,0,62
kernel_k11_13,2,2,1,9
kernel_k11_13,2,2,2,115
kernel_k11_13,2,2,3,36
kernel_k11_13,2,3,0,77
kernel_k11_13,2,3,1,21
kernel_k11_13,2,3,2,30
kernel_k11_13,2,3,3,96
kernel_k11_13,3,0,0,820
kernel_k11_13,3,0,1,20
kernel_k11_13,3,0,2,21
kernel_k11_13,3,0,3,39
kernel_k11_13,3,1,0,61
kernel_k11_13,3,1,1,115
kernel_k11_13,3,1,2,12
kernel_k11_13,3,1,3,37
kernel_k11_13,3,2,0,62
kernel_k11_13,3,2,1,13
kernel_k11_13,3,2,2,110
kernel_k11_13,3,2,3,39
kernel_k11_13,3,3,0,68
kernel_k11_13,3,3,1,11
kernel_k11_13,3,3,2,20
kernel_k11_13,3,3,3,126
kernel_k11_13,4,0,0,765
kernel_k11_13,4,0,1,55
kernel_k11_13,4,0,2,37
kernel_k11_13,4,0,3,43
kernel_k11_13,4,1,0,66
kernel_k11_13,4,1,1,126
kernel_k11_13,4,1,2,2
kernel_k11_13,4,1,3,29
kernel_k11_13,4,2,0,80
kernel_k11_13,4,2,1,20
kernel_k11_13,4,2,2,93
kernel_k11_13,4,2,3,34
kernel_k11_13,4,3,0,66
kernel_k11_13,4,3,1,20
kernel_k11_13,4,3,2,13
kernel_k11_13,4,3,3,125
kernel_k11_13,5,0,0,793
kernel_k11_13,5,0,1,33
kernel_k11_13,5,0,2,41
kernel_k11_13,5,0,3,33
kernel_k11_13,5,1,0,65
kernel_k11_13,5,1,1,122
kernel_k11_13,5,1,2,12
kernel_k11_13,5,1,3,28
kernel_k11_13,5,2,0,61
kernel_k11_13,5,2,1,18
kernel_k11_13,5,2,2,118
kernel_k11_13,5,2,3,26
kernel_k11_13,5,3,0,73
kernel_k11_13,5,3,1,28
kernel_k11_13,5,3,2,22
kernel_k11_13,5,3,3,101
kernel_k11_13,6,0,0,763
kernel_k11_13,6,0,1,49
kernel_k11_13,6,0,2,30
kernel_k11_13,6,0,3,58
kernel_k11_13,6,1,0,64
kernel_k11_13,6,1,1,117
kernel_k11_13,6,1,2,20
kernel_k11_13,6,1,3,27
kernel_k11_13,6,2,0,53
kernel_k11_13,6,2,1,16
kernel_k11_13,6,2,2,109
kernel_k11_13,6,2,3,44
kernel_k11_13,6,3,0,67
kernel_k11_13,6,3,1,31
kernel_k11_13,6,3,2,21
kernel_k11_13,6,3,3,105
kernel_k11_13,7,0,0,859
kernel_k11_13,7,0,1,24
kernel_k11_13,7,0,2,41
kernel_k11_13,7,0,3,66
kernel_k11_13,7,1,0,59
kernel_k11_13,7,1,1,130
kernel_k11_13,7,1,2,24
