reference,comparator,metric,pairing_unit,n_paired_folds,reference_mean,comparator_mean,mean_difference,median_difference,mean_difference_ci_2_5,mean_difference_ci_97_5,rank_biserial_correlation,wilcoxon_statistic,raw_p,interpretation_note,holm_adjusted_p
kernel_k7_9_11_13,baseline_csp_lda,accuracy,outer subject-wise fold,10,0.7022592932318608,0.5660327622505104,0.13622653098135032,0.13525385337826634,0.12679037116956202,0.14548918020487123,1.0,0.0,0.001953125,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.021484375
kernel_k7_9_11_13,baseline_csp_lda,balanced_accuracy,outer subject-wise fold,10,0.5826976610437588,0.2505841176061595,0.33211354343759925,0.3343590481752924,0.31865131033183963,0.3451708267993334,1.0,0.0,0.001953125,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.021484375
kernel_k7_9_11_13,baseline_csp_lda,macro_f1,outer subject-wise fold,10,0.5968098273684787,0.18791069088910248,0.40889913647937626,0.4148197145392898,0.3934780833412746,0.42298869207767475,1.0,0.0,0.001953125,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.021484375
kernel_k7_9_11_13,kernel_k11,accuracy,outer subject-wise fold,10,0.7022592932318608,0.6935863268467447,0.00867296638511611,0.006035578144853837,0.0030272507964568874,0.015643070455960317,0.8545454545454545,4.0,0.013671875,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.109375
kernel_k7_9_11_13,kernel_k11,balanced_accuracy,outer subject-wise fold,10,0.5826976610437588,0.5740750496544689,0.008622611389289903,0.010963503146234954,-0.0010836299928111937,0.019296616600902153,0.5636363636363636,12.0,0.130859375,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.78515625
kernel_k7_9_11_13,kernel_k11,macro_f1,outer subject-wise fold,10,0.5968098273684787,0.587356724508248,0.009453102860230577,0.006506713676556586,0.0030669641087761506,0.018267933926006258,0.8181818181818182,5.0,0.01953125,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.17578125
kernel_k7_9_11_13,kernel_k11_13,accuracy,outer subject-wise fold,10,0.7022592932318608,0.697364656648584,0.004894636583276757,0.0061307846711967096,-0.002476660329592523,0.01173884040258691,0.4222222222222222,13.0,0.30078125,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.697265625
kernel_k7_9_11_13,kernel_k11_13,balanced_accuracy,outer subject-wise fold,10,0.5826976610437588,0.5714591524526447,0.0112385085911141,0.002798909132377736,-0.0012201266986115794,0.0262032118947134,0.34545454545454546,18.0,0.375,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.78515625
kernel_k7_9_11_13,kernel_k11_13,macro_f1,outer subject-wise fold,10,0.5968098273684787,0.5862340180084835,0.010575809359995225,0.006449270613894997,0.0001083016819927871,0.02212862332809643,0.6,11.0,0.10546875,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.322265625
kernel_k7_9_11_13,kernel_k13,accuracy,outer subject-wise fold,10,0.7022592932318608,0.6938860694175925,0.00837322381426835,0.0031049849916210404,0.0002675817671804458,0.01795038447201397,0.45454545454545453,15.0,0.232421875,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.697265625
kernel_k7_9_11_13,kernel_k13,balanced_accuracy,outer subject-wise fold,10,0.5826976610437588,0.5716148793148405,0.011082781728918346,0.013494046207862043,0.002647884940437279,0.019384997703913224,0.7090909090909091,8.0,0.048828125,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.390625
kernel_k7_9_11_13,kernel_k13,macro_f1,outer subject-wise fold,10,0.5968098273684787,0.5856039431760776,0.011205884192401172,0.010167054289016098,0.004042352684307014,0.018829533403469302,0.7818181818181819,6.0,0.02734375,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.19140625
kernel_k7_9_11_13,kernel_k7,accuracy,outer subject-wise fold,10,0.7022592932318608,0.6934626511546699,0.008796642077190919,0.011011805800460128,0.0012284958740839873,0.016364066441390494,0.7090909090909091,8.0,0.048828125,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.29296875
kernel_k7_9_11_13,kernel_k7,balanced_accuracy,outer subject-wise fold,10,0.5826976610437588,0.5625590899618131,0.02013857108194555,0.013664557050472093,0.0076464210637761905,0.03302973697933171,0.8545454545454545,4.0,0.013671875,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.123046875
kernel_k7_9_11_13,kernel_k7,macro_f1,outer subject-wise fold,10,0.5968098273684787,0.5788360084124828,0.017973818955995813,0.013672660641135093,0.006825242333808574,0.029503100768922975,0.8181818181818182,5.0,0.01953125,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.17578125
kernel_k7_9_11_13,kernel_k7_13,accuracy,outer subject-wise fold,10,0.7022592932318608,0.6969780430619411,0.005281250169919571,0.008259212198221066,-0.0027972694667875073,0.01190818458979396,0.5272727272727272,13.0,0.16015625,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.640625
kernel_k7_9_11_13,kernel_k7_13,balanced_accuracy,outer subject-wise fold,10,0.5826976610437588,0.569789204404258,0.012908456639500809,0.020898152616902588,-0.0008740760316518071,0.02497791538223896,0.5272727272727272,13.0,0.16015625,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.78515625
kernel_k7_9_11_13,kernel_k7_13,macro_f1,outer subject-wise fold,10,0.5968098273684787,0.5846621392405312,0.012147688127947387,0.018061834899222085,-0.00020506201015783946,0.022312231362649197,0.6,11.0,0.10546875,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.322265625
kernel_k7_9_11_13,kernel_k7_9,accuracy,outer subject-wise fold,10,0.7022592932318608,0.6970393280932224,0.005219965138638339,0.005785315728412732,-0.0023444910727837666,0.013226167564017134,0.45454545454545453,15.0,0.232421875,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.697265625
kernel_k7_9_11_13,kernel_k7_9,balanced_accuracy,outer subject-wise fold,10,0.5826976610437588,0.5695685346841851,0.013129126359573562,0.016814073035797295,0.0018111049532525056,0.024010775179203674,0.6363636363636364,10.0,0.083984375,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.587890625
kernel_k7_9_11_13,kernel_k7_9,macro_f1,outer subject-wise fold,10,0.5968098273684787,0.5855689668726131,0.01124086049586569,0.016975049355558214,0.0017647680835622258,0.020371961723411724,0.6727272727272727,9.0,0.064453125,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.322265625
kernel_k7_9_11_13,kernel_k7_9_11,accuracy,outer subject-wise fold,10,0.7022592932318608,0.6927697777329513,0.009489515498909463,0.011118170266836036,0.00142460786943352,0.01722200689922939,0.6727272727272727,9.0,0.064453125,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.322265625
kernel_k7_9_11_13,kernel_k7_9_11,balanced_accuracy,outer subject-wise fold,10,0.5826976610437588,0.5721470892157886,0.010550571827970218,0.015791028520185046,-0.005869161175750247,0.02614467155390638,0.41818181818181815,16.0,0.275390625,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.78515625
kernel_k7_9_11_13,kernel_k7_9_11,macro_f1,outer subject-wise fold,10,0.5968098273684787,0.5850702092002775,0.011739618168201117,0.014706919922379269,-0.0024748341941677934,0.02548677040385082,0.5272727272727272,13.0,0.16015625,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.322265625
kernel_k7_9_11_13,kernel_k9,accuracy,outer subject-wise fold,10,0.7022592932318608,0.6857072941270331,0.016551999104827596,0.01484245805940737,0.007765404602618904,0.025733543599367897,0.8909090909090909,3.0,0.009765625,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.087890625
kernel_k7_9_11_13,kernel_k9,balanced_accuracy,outer subject-wise fold,10,0.5826976610437588,0.5710892599626881,0.011608401081070674,0.011606900890437477,-0.001364538048292682,0.0253555173338113,0.5636363636363636,12.0,0.130859375,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.78515625
kernel_k7_9_11_13,kernel_k9,macro_f1,outer subject-wise fold,10,0.5968098273684787,0.5820287511805763,0.01478107618790243,0.015018912907654058,0.004694938919103671,0.025460893979105045,0.7818181818181819,6.0,0.02734375,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.19140625
kernel_k7_9_11_13,kernel_k9_11,accuracy,outer subject-wise fold,10,0.7022592932318608,0.6951672470554204,0.007092046176440214,0.0024856821906708015,0.0012805123676295205,0.01467322354506839,0.7777777777777778,5.0,0.0390625,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.2734375
kernel_k7_9_11_13,kernel_k9_11,balanced_accuracy,outer subject-wise fold,10,0.5826976610437588,0.5709760065029996,0.011721654540759135,0.0023627461194746235,0.000162974013174258,0.027665871131323804,0.4909090909090909,14.0,0.193359375,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.78515625
kernel_k7_9_11_13,kernel_k9_11,macro_f1,outer subject-wise fold,10,0.5968098273684787,0.5854723466228894,0.011337480745589235,0.003572089066451123,0.0021151205003410757,0.025138400061125814,0.6727272727272727,9.0,0.064453125,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.322265625
kernel_k7_9_11_13,window_1_4,accuracy,outer subject-wise fold,10,0.7022592932318608,0.48559956193498605,0.2166597312968747,0.22258125702079073,0.20707585020856414,0.22505147277019855,1.0,0.0,0.001953125,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.021484375
kernel_k7_9_11_13,window_1_4,balanced_accuracy,outer subject-wise fold,10,0.5826976610437588,0.3188446091785455,0.2638530518652132,0.2602516595130232,0.24895947914697708,0.2783135870094978,1.0,0.0,0.001953125,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.021484375
kernel_k7_9_11_13,window_1_4,macro_f1,outer subject-wise fold,10,0.5968098273684787,0.3174227559931386,0.27938707137534013,0.27953432428309477,0.26399879374359797,0.2950521731131503,1.0,0.0,0.001953125,Secondary evaluation summary; n=10 yields discrete Wilcoxon p-values. Emphasize effect size and CI; subject-level results are primary.,0.021484375
