run,metric,estimate,ci_2_5,ci_97_5,n_subjects,bootstrap_resamples,seed,method
baseline_csp_lda,accuracy,0.5657732213438735,0.5559261651235119,0.5719753086419753,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
baseline_csp_lda,balanced_accuracy,0.25057853009822284,0.2495142538792531,0.25160684426339675,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
baseline_csp_lda,macro_f1,0.1897156255370292,0.18420567262975476,0.19604821495791425,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k11,accuracy,0.6936141304347826,0.6755282160155556,0.7116159283794293,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k11,balanced_accuracy,0.574045091068126,0.5480248543104543,0.6004384096811297,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k11,macro_f1,0.5881895169446504,0.5625345265750669,0.6135625335133476,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k11_13,accuracy,0.69725790513834,0.6798827834102075,0.7147891559722307,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k11_13,balanced_accuracy,0.5716521740981342,0.5463207793054126,0.597102477024688,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k11_13,macro_f1,0.5876192462816058,0.5627773257774419,0.6126127771568255,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k13,accuracy,0.6937994071146245,0.6761851783175722,0.711506600185453,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k13,balanced_accuracy,0.5714870528512493,0.5466330544102418,0.596205163840015,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k13,macro_f1,0.5862843574569495,0.5616900268658763,0.6106251034077054,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k7,accuracy,0.693552371541502,0.6754548864392503,0.7114269916050497,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k7,balanced_accuracy,0.5626789587632712,0.5361754871545242,0.5890525196259693,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k7,macro_f1,0.5799276616120982,0.553487173883966,0.6056483855951789,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k7_13,accuracy,0.697072628458498,0.6798095744868313,0.714145475858507,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k7_13,balanced_accuracy,0.5698358485112028,0.5439300275380342,0.595438278460533,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k7_13,macro_f1,0.5862255303181255,0.560977253275257,0.6107729192159959,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k7_9,accuracy,0.6971343873517787,0.6792037691780698,0.714920680978209,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k7_9,balanced_accuracy,0.5692440202529861,0.5434362360092937,0.5951187558858915,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k7_9,macro_f1,0.586485013382026,0.5609542860289181,0.6118560240337655,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k7_9_11,accuracy,0.693058300395257,0.6755635876840695,0.7104831980860897,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k7_9_11,balanced_accuracy,0.5726715368244997,0.5467567161490419,0.5985806191163002,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k7_9_11,macro_f1,0.586143030124967,0.561008189978745,0.6107648853412808,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k7_9_11_13,accuracy,0.7021986166007905,0.6843858383269196,0.7195528656126482,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k7_9_11_13,balanced_accuracy,0.5824813053497127,0.5561815221527119,0.6080532787792612,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k7_9_11_13,macro_f1,0.5975170392763116,0.5718813437767555,0.6218473379866056,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k9,accuracy,0.685832509881423,0.667674504092107,0.703690940651071,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k9,balanced_accuracy,0.5711823496608799,0.545243990017116,0.5971428350270581,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k9,macro_f1,0.5823696545358161,0.5572484395150954,0.606957907208933,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k9_11,accuracy,0.6951581027667985,0.6780916206364581,0.7124338656444729,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k9_11,balanced_accuracy,0.5710302708138235,0.5462981702859355,0.5961953731784881,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
kernel_k9_11,macro_f1,0.5869148785612743,0.5628979404551443,0.6109437459316074,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
window_0_2,accuracy,0.6922507860181246,0.6754787616937703,0.7091640040422552,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
window_0_2,balanced_accuracy,0.5712157998067102,0.5453739741559914,0.5973131718340635,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
window_0_2,macro_f1,0.5857787526087768,0.5612319686460233,0.6103558879364624,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
window_0_3,accuracy,0.7001417915048394,0.6823838506727329,0.7179551938997414,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
window_0_3,balanced_accuracy,0.576872903491664,0.5505042522175506,0.6032162154632036,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
window_0_3,macro_f1,0.592861002210341,0.5669381627296022,0.6180131430758823,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
window_1_4,accuracy,0.48561017786561267,0.4717178328838671,0.49901306845906956,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
window_1_4,balanced_accuracy,0.31918419386222857,0.3096271090146167,0.32871275672108546,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
window_1_4,macro_f1,0.3205879377415913,0.31059492972304714,0.33050431072459646,103,10000,42,subject-block percentile bootstrap of pooled out-of-fold predictions
