Subject ID,Cohort exclusion reason,Trigger class,Current audit complete,Rest retained,Left fist imagery retained,Right fist imagery retained,Both feet imagery retained
3,all both feet imagery trials exceeded 300uv,Both feet imagery,No,5,2,4,0
4,all left fist imagery trials exceeded 300uv,Left fist imagery,No,20,0,0,11
9,all rest trials exceeded 300uv,Rest,No,0,0,0,0
13,all rest trials exceeded 300uv,Rest,No,0,0,0,0
17,all right fist imagery trials exceeded 300uv,Right fist imagery,No,5,1,0,3
19,all both feet imagery trials exceeded 300uv,Both feet imagery,No,11,8,6,0
22,all rest trials exceeded 300uv,Rest,No,0,0,1,0
23,all both feet imagery trials exceeded 300uv,Both feet imagery,No,1,2,2,0
24,all rest trials exceeded 300uv,Rest,No,0,0,0,0
48,all rest trials exceeded 300uv,Rest,No,0,0,1,1
53,all rest trials exceeded 300uv,Rest,No,0,0,0,0
60,all rest trials exceeded 300uv,Rest,No,0,0,1,0
61,all rest trials exceeded 300uv,Rest,No,0,0,1,0
90,all rest trials exceeded 300uv,Rest,No,0,3,1,4
91,all rest trials exceeded 300uv,Rest,No,0,0,0,2
96,all rest trials exceeded 300uv,Rest,No,0,0,0,0
108,all right fist imagery trials exceeded 300uv,Right fist imagery,No,7,1,0,3
109,all rest trials exceeded 300uv,Rest,No,0,0,0,0
