Subject ID,Rest annotated,Rest rejected,Rest retained,Left fist imagery annotated,Left fist imagery rejected,Left fist imagery retained,Right fist imagery annotated,Right fist imagery rejected,Right fist imagery retained,Both feet imagery annotated,Both feet imagery rejected,Both feet imagery retained,Total retained,Equal all four,Equal imagery classes
1,90,10,80,23,2,21,22,3,19,24,2,22,142,No,No
2,90,5,85,23,0,23,22,1,21,21,0,21,150,No,No
5,90,0,90,21,0,21,24,0,24,22,0,22,157,No,No
6,90,10,80,24,3,21,21,2,19,23,0,23,143,No,No
7,90,11,79,23,0,23,22,0,22,23,2,21,145,No,No
8,90,1,89,22,0,22,23,0,23,22,0,22,156,No,No
10,90,29,61,24,6,18,21,2,19,22,4,18,116,No,No
11,90,1,89,23,1,22,22,0,22,23,0,23,156,No,No
12,90,3,87,21,4,17,24,2,22,23,4,19,145,No,No
14,90,1,89,22,0,22,23,0,23,21,0,21,155,No,No
15,90,67,23,23,6,17,22,7,15,23,1,22,77,No,No
16,90,1,89,22,0,22,23,0,23,21,1,20,154,No,No
18,90,0,90,22,0,22,23,0,23,23,0,23,158,No,No
20,90,0,90,23,0,23,22,0,22,22,0,22,157,No,No
21,90,53,37,24,14,10,21,11,10,21,12,9,66,No,No
25,90,0,90,22,0,22,23,0,23,21,0,21,156,No,No
26,90,0,90,24,0,24,21,0,21,24,0,24,159,No,No
27,90,58,32,23,14,9,22,9,13,23,13,10,64,No,No
28,90,65,25,22,14,8,23,14,9,22,7,15,57,No,No
29,90,0,90,23,0,23,22,0,22,23,0,23,158,No,No
30,90,0,90,24,0,24,21,0,21,21,0,21,156,No,No
31,90,0,90,22,0,22,23,0,23,22,0,22,157,No,No
32,90,77,13,21,20,1,24,20,4,23,20,3,21,No,No
33,90,2,88,23,0,23,22,0,22,23,0,23,156,No,No
34,90,0,90,21,0,21,24,0,22,23,0,21,154,No,No
35,90,0,90,22,0,22,23,0,23,21,0,21,156,No,No
36,90,58,32,23,4,19,22,6,16,23,2,21,88,No,No
37,90,0,90,23,0,22,22,0,21,23,0,21,154,No,No
38,90,11,79,23,2,21,22,1,21,22,1,21,142,No,Yes
39,90,65,25,23,16,7,22,14,8,22,12,10,50,No,No
40,90,18,72,21,1,20,24,0,24,23,2,21,137,No,No
41,90,0,90,24,0,23,21,0,21,22,0,22,156,No,No
42,90,0,90,22,0,22,23,0,23,21,0,21,156,No,No
44,90,82,8,22,18,4,23,18,5,22,15,7,24,No,No
45,90,62,28,23,13,10,22,8,14,21,12,9,61,No,No
46,90,83,7,23,3,20,22,2,20,23,5,18,65,No,No
47,90,0,90,24,0,24,21,0,21,22,0,22,157,No,No
49,90,87,3,23,20,3,22,20,2,24,18,6,14,No,No
50,90,0,90,23,0,23,22,0,22,21,0,21,156,No,No
51,90,0,90,24,0,24,21,0,21,24,0,24,159,No,No
52,90,80,10,24,13,11,21,15,6,23,12,11,38,No,No
54,90,79,11,23,15,8,22,14,8,22,10,12,39,No,No
55,90,0,90,23,0,23,22,0,22,22,0,22,157,No,No
56,90,84,6,22,16,6,23,19,4,22,19,3,19,No,No
57,90,55,35,24,16,8,21,12,9,23,11,12,64,No,No
58,90,63,27,24,12,12,21,11,10,22,21,1,50,No,No
59,90,27,63,24,9,15,21,7,14,23,6,17,109,No,No
62,90,0,90,23,0,23,22,0,22,22,0,22,157,No,No
63,90,17,73,22,5,17,23,6,17,23,5,18,125,No,No
64,90,0,90,23,0,23,22,0,21,23,0,22,156,No,No
65,90,55,35,24,5,19,21,1,20,23,6,17,91,No,No
66,90,2,88,22,0,22,23,0,23,23,0,23,156,No,No
67,90,0,90,22,0,22,23,0,23,22,0,22,157,No,No
68,90,45,45,22,1,21,23,3,20,23,9,14,100,No,No
69,90,21,69,24,1,23,21,2,19,23,1,22,133,No,No
70,90,26,64,22,11,11,23,12,11,22,2,20,106,No,No
71,90,21,69,22,5,17,23,7,16,22,4,18,120,No,No
72,90,0,90,22,0,22,23,0,21,23,0,21,154,No,No
73,90,0,90,23,0,21,22,0,21,22,0,21,153,No,Yes
74,90,0,90,24,0,22,21,0,21,22,0,21,154,No,No
75,90,83,7,22,21,1,23,22,1,24,23,1,10,No,Yes
76,90,0,90,23,0,21,22,0,21,22,0,21,153,No,Yes
77,90,59,31,21,9,12,24,14,10,23,17,6,59,No,No
78,90,0,90,23,0,23,22,0,22,23,0,23,158,No,No
79,90,63,27,22,18,4,23,20,3,24,13,11,45,No,No
80,90,62,28,23,3,20,22,5,17,21,9,12,77,No,No
81,90,0,90,22,0,22,23,0,23,23,0,23,158,No,No
82,90,1,89,23,1,22,22,1,21,21,1,20,152,No,No
83,90,76,14,22,18,4,23,16,7,23,16,7,32,No,No
84,90,7,83,23,2,21,22,1,21,23,2,21,146,No,Yes
85,90,19,71,23,5,18,22,7,15,22,3,19,123,No,No
86,90,70,20,22,15,7,23,14,9,24,2,22,58,No,No
87,90,29,61,22,7,15,23,3,20,22,7,15,111,No,No
93,90,1,89,23,0,23,22,0,22,22,0,22,156,No,No
94,90,77,13,22,13,9,23,9,14,23,11,12,48,No,No
95,90,71,19,23,16,7,22,16,6,23,15,8,40,No,No
97,90,87,3,23,20,3,22,18,4,22,21,1,11,No,No
98,90,0,90,23,0,23,22,0,22,24,0,24,159,No,No
99,90,73,17,22,21,1,23,20,3,24,18,6,27,No,No
101,90,30,60,22,0,22,23,0,23,21,0,21,126,No,No
102,90,0,90,22,0,21,23,0,21,22,0,22,154,No,No
103,90,59,31,22,10,12,23,7,16,23,15,8,67,No,No
105,90,3,87,23,1,22,22,1,21,21,1,20,150,No,No
106,90,70,20,24,13,11,21,13,8,22,16,6,45,No,No
107,90,50,40,24,11,13,21,12,9,23,9,14,76,No,No
